ticket_id,ticket_open_date_key,ticket_close_date_key,customer_sk,product_sk,asset_sk,service_category_id,geo_id,ticket_status,sla_target_days,actual_resolution_days,sla_met_flag,repeat_issue_flag,warranty_claim_flag
TCK_00000022,20250703,20250705.0,547418,2011,931936.0,2,1237,closed,5,2.0,1.0,True,True
TCK_00000023,20230705,,558463,2009,933535.0,7,1300,open,5,,,True,False
TCK_00000024,20230424,20230501.0,557204,2009,937269.0,2,1092,closed,3,7.0,0.0,True,False
TCK_00000025,20250612,,517987,2019,,6,1517,open,1,,,True,False
TCK_00000026,20250803,20250820.0,550144,2016,941056.0,7,1260,closed,7,17.0,0.0,False,False
TCK_00000027,20240424,20240429.0,513006,2012,,7,1085,closed,5,5.0,1.0,True,False
TCK_00000028,20230918,20231004.0,545013,2015,916586.0,2,1092,closed,2,16.0,0.0,False,True
TCK_00000029,20250204,20250207.0,559996,2011,916079.0,3,1501,closed,1,3.0,0.0,False,True
TCK_00000030,20250220,20250301.0,523910,2007,,2,1135,closed,3,9.0,0.0,False,False
TCK_00000031,20231011,20231023.0,544845,2020,,3,1216,closed,5,12.0,0.0,False,True
TCK_00000032,20240726,20240815.0,511594,2010,,7,1257,closed,5,20.0,0.0,True,False
TCK_00000033,20250402,20250405.0,554475,2009,,1,1195,closed,5,3.0,1.0,False,False
TCK_00000034,20240606,20240611.0,542595,2018,909247.0,4,1449,closed,2,5.0,0.0,False,True
TCK_00000035,20231022,,514146,2010,935702.0,7,1414,escalated,2,,,False,False
TCK_00000036,20250819,20250824.0,555675,2013,915328.0,2,1279,closed,1,5.0,0.0,False,False
TCK_00000037,20250618,20250620.0,559554,2013,946897.0,2,1261,closed,1,2.0,0.0,True,False
TCK_00000038,20240609,20240618.0,511243,2022,,7,1225,closed,2,9.0,0.0,False,False
TCK_00000039,20230814,20230824.0,550000,2021,,2,1179,closed,3,10.0,0.0,False,True
TCK_00000040,20251014,,517874,2001,934579.0,3,1355,open,5,,,False,False
TCK_00000041,20231220,20231225.0,555853,2019,913379.0,5,1524,closed,1,5.0,0.0,False,False
TCK_00000042,20250618,,544073,2011,933949.0,4,1497,open,7,,,False,False
TCK_00000043,20230905,20230919.0,510668,2021,942115.0,3,1108,closed,5,14.0,0.0,False,False
TCK_00000044,20240324,20240328.0,511072,2023,917108.0,3,1373,closed,5,4.0,1.0,False,True
TCK_00000045,20231030,20231114.0,536343,2009,928770.0,5,1308,closed,5,15.0,0.0,False,False
TCK_00000046,20241222,20241230.0,503977,2006,946568.0,7,1248,closed,3,8.0,0.0,False,False
TCK_00000047,20240525,20240526.0,535255,2001,910187.0,6,1221,closed,2,1.0,1.0,True,False
TCK_00000048,20230412,20230423.0,510973,2019,,6,1261,closed,5,11.0,0.0,False,False
TCK_00000049,20230318,20230322.0,553601,2003,925248.0,3,1312,closed,5,4.0,1.0,False,False
TCK_00000050,20240311,20240313.0,524879,2002,,3,1379,closed,3,2.0,1.0,False,False
TCK_00000051,20250710,,522686,2001,918295.0,2,1119,open,2,,,False,False
TCK_00000052,20251122,20251124.0,511457,2013,910118.0,4,1494,closed,3,2.0,1.0,False,False
TCK_00000053,20240825,20240826.0,557797,2014,,7,1222,closed,5,1.0,1.0,False,False
TCK_00000054,20241004,20241010.0,513872,2009,912802.0,1,1407,closed,3,6.0,0.0,False,False
TCK_00000055,20240319,20240403.0,541169,2017,933472.0,2,1498,closed,3,15.0,0.0,False,False
TCK_00000056,20250512,20250523.0,517354,2017,,3,1490,closed,7,11.0,0.0,False,True
TCK_00000057,20231116,20231122.0,548495,2004,901815.0,4,1346,closed,3,6.0,0.0,True,True
TCK_00000058,20240614,,513189,2017,901260.0,3,1384,open,3,,,False,False
TCK_00000059,20230322,20230329.0,535465,2002,918766.0,7,1198,closed,5,7.0,0.0,False,False
TCK_00000060,20251125,20251206.0,506796,2017,915712.0,2,1398,closed,2,11.0,0.0,False,True
TCK_00000061,20250702,,536891,2018,924935.0,2,1053,open,3,,,False,False
TCK_00000062,20241102,20241104.0,539566,2001,925267.0,2,1075,closed,3,2.0,1.0,False,True
TCK_00000063,20230815,20230819.0,510884,2012,906942.0,5,1477,closed,7,4.0,1.0,False,False
TCK_00000064,20230112,20230124.0,516100,2010,902569.0,4,1391,closed,1,12.0,0.0,False,False
TCK_00000065,20240805,20240817.0,515135,2016,906592.0,3,1315,closed,5,12.0,0.0,False,True
TCK_00000066,20251018,20251102.0,520763,2019,902149.0,2,1237,closed,5,15.0,0.0,False,False
TCK_00000067,20230723,20230731.0,553459,2021,948522.0,4,1233,closed,1,8.0,0.0,False,False
TCK_00000068,20250930,20251019.0,552429,2019,,5,1136,closed,3,19.0,0.0,False,False
TCK_00000069,20230924,20231011.0,559911,2003,915163.0,6,1470,closed,2,17.0,0.0,True,False
TCK_00000070,20240820,20240830.0,509921,2005,946739.0,5,1047,closed,2,10.0,0.0,False,False
TCK_00000071,20230625,20230630.0,547555,2009,933023.0,4,1302,closed,7,5.0,1.0,False,True
TCK_00000072,20230428,,511103,2011,901271.0,3,1483,open,5,,,False,False
TCK_00000073,20250903,20250923.0,530887,2007,947650.0,2,1039,closed,3,20.0,0.0,True,False
TCK_00000074,20241226,20250108.0,540702,2003,,6,1319,closed,1,13.0,0.0,False,True
TCK_00000075,20240622,20240702.0,531035,2010,,5,1153,closed,3,10.0,0.0,True,False
TCK_00000076,20250925,20250930.0,520741,2003,907548.0,1,1222,closed,3,5.0,0.0,False,False
TCK_00000077,20240321,20240402.0,539449,2003,924165.0,3,1042,closed,7,12.0,0.0,False,True
TCK_00000078,20230922,20230929.0,557163,2024,,5,1440,closed,3,7.0,0.0,False,False
TCK_00000079,20251108,20251119.0,517194,2012,945124.0,5,1242,closed,2,11.0,0.0,False,False
TCK_00000080,20240912,20240928.0,540230,2007,926051.0,6,1026,closed,2,16.0,0.0,False,True
TCK_00000081,20251101,20251103.0,555769,2002,,2,1364,closed,3,2.0,1.0,False,False
TCK_00000082,20240712,20240719.0,505439,2007,,5,1460,closed,3,7.0,0.0,False,False
TCK_00000083,20240412,20240427.0,555686,2011,922278.0,6,1162,closed,5,15.0,0.0,False,False
TCK_00000084,20240117,20240125.0,529295,2023,,6,1142,closed,2,8.0,0.0,False,False
TCK_00000085,20250905,20250924.0,541856,2001,914437.0,7,1295,closed,2,19.0,0.0,False,False
TCK_00000086,20230627,20230714.0,539399,2007,938729.0,2,1067,closed,7,17.0,0.0,False,False
TCK_00000087,20230204,20230209.0,555203,2003,903090.0,4,1107,closed,2,5.0,0.0,False,False
TCK_00000088,20241228,20250105.0,521942,2019,934985.0,7,1006,closed,5,8.0,0.0,True,False
TCK_00000089,20230317,20230402.0,513991,2005,,7,1014,closed,2,16.0,0.0,False,False
TCK_00000090,20250719,20250725.0,501537,2024,925939.0,1,1505,closed,2,6.0,0.0,False,True
TCK_00000091,20240526,20240605.0,538663,2019,905817.0,7,1127,closed,2,10.0,0.0,False,False
TCK_00000092,20230609,20230628.0,541168,2014,909258.0,5,1471,closed,3,19.0,0.0,True,False
TCK_00000093,20231206,20231223.0,521269,2009,941822.0,2,1037,closed,1,17.0,0.0,False,False
TCK_00000094,20250728,,500739,2017,,6,1004,escalated,1,,,False,False
TCK_00000095,20240417,20240420.0,519897,2010,932895.0,5,1420,closed,2,3.0,0.0,False,False
TCK_00000096,20241109,20241128.0,535953,2012,919049.0,2,1340,closed,5,19.0,0.0,False,True
TCK_00000097,20240927,20241013.0,547645,2004,913228.0,1,1227,closed,5,16.0,0.0,True,True
TCK_00000098,20231008,20231019.0,539276,2007,917561.0,1,1353,closed,5,11.0,0.0,False,False
TCK_00000099,20230514,20230529.0,547123,2024,912101.0,6,1356,closed,2,15.0,0.0,False,False
TCK_00000100,20240107,,505444,2018,,5,1354,open,7,,,False,False
TCK_00000101,20251217,20251229.0,504335,2001,946405.0,2,1275,closed,7,12.0,0.0,False,False
TCK_00000102,20231111,20231114.0,554889,2006,,4,1174,closed,7,3.0,1.0,True,True
TCK_00000103,20251026,20251106.0,548420,2015,914922.0,4,1068,closed,7,11.0,0.0,False,False
TCK_00000104,20240616,20240630.0,512849,2006,919659.0,6,1242,closed,5,14.0,0.0,False,False
TCK_00000105,20240206,20240207.0,512992,2019,920943.0,2,1263,closed,3,1.0,1.0,False,False
TCK_00000106,20230826,20230908.0,532174,2015,944761.0,2,1257,closed,1,13.0,0.0,False,False
TCK_00000107,20250913,20250917.0,554798,2010,901366.0,5,1116,closed,3,4.0,0.0,False,False
TCK_00000108,20230724,,510976,2007,913870.0,7,1238,open,3,,,False,False
TCK_00000109,20230913,20230919.0,531560,2011,931378.0,2,1421,closed,3,6.0,0.0,False,False
TCK_00000110,20240422,20240423.0,530256,2011,922020.0,2,1150,closed,3,1.0,1.0,False,False
TCK_00000111,20250513,20250602.0,501972,2019,926450.0,4,1041,closed,5,20.0,0.0,False,False
TCK_00000112,20230505,20230523.0,552334,2007,903589.0,4,1493,closed,7,18.0,0.0,False,False
TCK_00000113,20240621,20240710.0,542288,2012,913668.0,4,1111,closed,3,19.0,0.0,False,False
TCK_00000114,20230714,20230802.0,534362,2015,904124.0,3,1515,closed,5,19.0,0.0,False,False
TCK_00000115,20230122,20230202.0,546832,2007,924809.0,3,1365,closed,3,11.0,0.0,True,False
TCK_00000116,20240425,20240427.0,522553,2004,,3,1353,closed,5,2.0,1.0,False,False
TCK_00000117,20230916,20230921.0,519773,2013,,6,1327,closed,3,5.0,0.0,False,True
TCK_00000118,20240108,,547624,2018,900108.0,2,1404,open,5,,,False,True
TCK_00000119,20250131,20250131.0,553634,2005,940377.0,3,1021,closed,3,0.0,1.0,False,True
TCK_00000120,20250124,20250208.0,511405,2022,926223.0,2,1388,closed,5,15.0,0.0,False,True
TCK_00000121,20240218,20240229.0,547049,2016,,7,1206,closed,3,11.0,0.0,True,False
TCK_00000122,20230418,20230503.0,533117,2004,933534.0,2,1302,closed,2,15.0,0.0,False,True
TCK_00000123,20240403,20240422.0,515294,2010,925739.0,7,1359,closed,3,19.0,0.0,True,False
TCK_00000124,20240428,20240503.0,517574,2021,935748.0,6,1489,closed,5,5.0,1.0,False,True
TCK_00000125,20251008,20251021.0,536354,2019,,7,1405,closed,2,13.0,0.0,False,False
TCK_00000126,20240130,20240215.0,532800,2019,,6,1427,closed,3,16.0,0.0,False,False
TCK_00000127,20241219,,528814,2011,,7,1043,open,3,,,False,False
TCK_00000128,20240304,20240321.0,539188,2018,930940.0,4,1489,closed,1,17.0,0.0,False,False
TCK_00000129,20250619,20250622.0,524704,2016,914583.0,6,1441,closed,5,3.0,1.0,False,False
TCK_00000130,20250228,20250319.0,526373,2005,911061.0,3,1385,closed,3,19.0,0.0,True,False
TCK_00000131,20230410,20230426.0,554044,2024,940256.0,2,1518,closed,2,16.0,0.0,False,False
TCK_00000132,20250513,20250518.0,508989,2006,,6,1198,closed,1,5.0,0.0,True,False
TCK_00000133,20250215,,549455,2015,925499.0,3,1174,open,3,,,False,True
TCK_00000134,20230407,20230411.0,538835,2020,,6,1089,closed,3,4.0,0.0,False,False
TCK_00000135,20250227,20250309.0,529640,2016,,5,1502,closed,3,10.0,0.0,False,False
TCK_00000136,20240202,20240207.0,558016,2009,945646.0,3,1294,closed,3,5.0,0.0,False,True
TCK_00000137,20240727,20240810.0,558641,2016,908326.0,1,1092,closed,5,14.0,0.0,False,True
TCK_00000138,20241006,20241014.0,559747,2019,947641.0,5,1475,closed,5,8.0,0.0,False,False
TCK_00000139,20241023,,534976,2009,930722.0,4,1177,open,3,,,False,True
TCK_00000140,20240622,20240711.0,557209,2020,904034.0,4,1229,closed,1,19.0,0.0,False,True
TCK_00000141,20250926,20251016.0,552178,2003,934635.0,2,1169,closed,3,20.0,0.0,False,False
TCK_00000142,20230314,20230317.0,533877,2023,,6,1522,closed,2,3.0,0.0,False,False
TCK_00000143,20240206,20240220.0,515948,2004,,6,1268,closed,5,14.0,0.0,True,False
TCK_00000144,20230708,20230726.0,503007,2001,,5,1526,closed,5,18.0,0.0,True,False
TCK_00000145,20241018,20241031.0,546943,2012,943713.0,2,1053,closed,1,13.0,0.0,False,False
TCK_00000146,20240822,20240824.0,543473,2012,905682.0,6,1132,closed,2,2.0,1.0,True,False
TCK_00000147,20230716,,500256,2011,938226.0,1,1370,open,3,,,True,False
TCK_00000148,20240122,20240127.0,507184,2021,907944.0,2,1032,closed,3,5.0,0.0,False,False
TCK_00000149,20230318,20230406.0,515689,2020,931466.0,2,1359,closed,5,19.0,0.0,False,True
TCK_00000150,20231223,20240102.0,555033,2015,912706.0,6,1281,closed,5,10.0,0.0,False,False
TCK_00000151,20241215,20241215.0,542549,2014,902447.0,3,1120,closed,3,0.0,1.0,False,True
TCK_00000152,20241119,,524047,2010,,1,1299,open,2,,,False,False
TCK_00000153,20250330,20250402.0,553520,2003,,1,1083,closed,2,3.0,0.0,False,False
TCK_00000154,20240824,20240825.0,537136,2024,923331.0,5,1403,closed,2,1.0,1.0,True,False
TCK_00000155,20240827,20240829.0,527869,2012,917624.0,5,1138,closed,5,2.0,1.0,True,False
TCK_00000156,20240122,20240126.0,527102,2021,919774.0,1,1044,closed,5,4.0,1.0,False,False
TCK_00000157,20240917,20241007.0,526259,2016,,2,1509,closed,3,20.0,0.0,False,False
TCK_00000158,20241109,20241127.0,532021,2011,,7,1271,closed,7,18.0,0.0,False,False
TCK_00000159,20250815,20250829.0,525937,2001,914489.0,2,1222,closed,3,14.0,0.0,False,True
TCK_00000160,20230213,20230226.0,525222,2016,916702.0,6,1344,closed,2,13.0,0.0,False,False
TCK_00000161,20231108,20231125.0,502887,2004,923860.0,2,1422,closed,2,17.0,0.0,True,True
TCK_00000162,20230822,,550003,2010,913212.0,5,1382,open,7,,,False,False
TCK_00000163,20230507,20230513.0,538548,2004,937226.0,2,1502,closed,1,6.0,0.0,False,False
TCK_00000164,20231204,,518318,2015,938829.0,4,1366,open,3,,,True,True
TCK_00000165,20250430,20250518.0,511013,2007,,5,1026,closed,3,18.0,0.0,False,False
TCK_00000166,20251202,,547535,2022,908714.0,6,1349,escalated,5,,,False,True
TCK_00000167,20241124,20241213.0,503924,2019,,7,1199,closed,3,19.0,0.0,False,False
TCK_00000168,20241110,20241119.0,519422,2013,940761.0,6,1296,closed,7,9.0,0.0,False,False
TCK_00000169,20250401,20250419.0,513546,2014,939840.0,1,1264,closed,2,18.0,0.0,False,False
TCK_00000170,20250905,20250919.0,558281,2018,922860.0,1,1025,closed,2,14.0,0.0,False,False
TCK_00000171,20240723,20240810.0,514051,2001,,6,1119,closed,1,18.0,0.0,False,True
TCK_00000172,20240716,,523563,2002,946275.0,6,1394,open,5,,,False,True
TCK_00000173,20250623,20250701.0,505279,2017,947151.0,7,1406,closed,5,8.0,0.0,False,False
TCK_00000174,20240708,20240726.0,534521,2012,915416.0,7,1344,closed,7,18.0,0.0,False,False
TCK_00000175,20230218,20230222.0,540907,2003,930468.0,3,1215,closed,5,4.0,1.0,False,False
TCK_00000176,20250331,20250420.0,557026,2013,939577.0,4,1030,closed,3,20.0,0.0,False,True
TCK_00000177,20241206,20241224.0,506258,2015,948002.0,7,1221,closed,5,18.0,0.0,False,False
TCK_00000178,20230623,20230630.0,542820,2024,,4,1162,closed,2,7.0,0.0,False,False
TCK_00000179,20231225,20240110.0,510284,2021,900819.0,6,1265,closed,2,16.0,0.0,False,False
TCK_00000180,20230825,,523986,2009,909266.0,7,1370,open,3,,,False,False
TCK_00000181,20230819,20230819.0,528413,2002,947684.0,1,1160,closed,2,0.0,1.0,True,False
TCK_00000182,20240714,20240714.0,548671,2019,907197.0,3,1089,closed,3,0.0,1.0,False,True
TCK_00000183,20240601,20240609.0,514616,2002,,4,1302,closed,5,8.0,0.0,False,False
TCK_00000184,20230831,,523342,2009,911075.0,4,1229,open,2,,,False,False
TCK_00000185,20240926,20241011.0,553948,2009,902079.0,5,1284,closed,3,15.0,0.0,False,False
TCK_00000186,20230619,20230702.0,501329,2002,,6,1383,closed,3,13.0,0.0,True,False
TCK_00000187,20230510,20230523.0,537644,2013,929299.0,2,1391,closed,3,13.0,0.0,True,True
TCK_00000188,20250504,20250524.0,540916,2011,,7,1120,closed,2,20.0,0.0,False,False
TCK_00000189,20241015,,550416,2019,935632.0,1,1160,open,3,,,False,False
TCK_00000190,20250519,20250519.0,502678,2002,,3,1370,closed,3,0.0,1.0,False,False
TCK_00000191,20241117,,532217,2023,,7,1449,open,1,,,False,False
TCK_00000192,20241117,,510608,2010,948430.0,3,1363,open,2,,,False,True
TCK_00000193,20250714,,549561,2003,928224.0,6,1153,open,3,,,False,False
TCK_00000194,20230801,20230808.0,532736,2005,,5,1126,closed,7,7.0,1.0,False,False
TCK_00000195,20240903,20240913.0,557610,2008,915970.0,2,1455,closed,3,10.0,0.0,False,False
TCK_00000196,20241029,20241105.0,534216,2005,936963.0,7,1176,closed,2,7.0,0.0,False,False
TCK_00000197,20250522,20250530.0,514847,2022,915538.0,1,1270,closed,3,8.0,0.0,False,False
TCK_00000198,20250804,20250810.0,557466,2006,932076.0,3,1136,closed,3,6.0,0.0,True,True
TCK_00000199,20230406,20230407.0,506525,2017,914951.0,6,1077,closed,3,1.0,1.0,False,False
TCK_00000200,20230214,,535454,2019,,4,1106,open,3,,,False,False
TCK_00000201,20241209,20241223.0,543659,2011,928749.0,3,1121,closed,5,14.0,0.0,False,False
TCK_00000202,20240130,20240215.0,541673,2003,901823.0,2,1131,closed,5,16.0,0.0,False,True
TCK_00000203,20231227,20240110.0,510570,2003,,3,1304,closed,2,14.0,0.0,True,True
TCK_00000204,20251015,20251103.0,542632,2012,,3,1162,closed,1,19.0,0.0,False,True
TCK_00000205,20240415,20240424.0,551691,2009,948598.0,1,1163,closed,2,9.0,0.0,False,True
TCK_00000206,20240629,20240701.0,558322,2013,930111.0,4,1105,closed,3,2.0,1.0,False,False
TCK_00000207,20240227,20240317.0,531276,2024,902716.0,5,1368,closed,3,19.0,0.0,False,False
TCK_00000208,20240226,20240229.0,519006,2003,,4,1043,closed,2,3.0,0.0,True,True
TCK_00000209,20240804,20240806.0,518229,2004,,1,1106,closed,5,2.0,1.0,False,False
TCK_00000210,20250927,,520001,2007,901552.0,6,1096,open,7,,,False,False
TCK_00000211,20250403,20250406.0,501517,2009,915659.0,5,1212,closed,5,3.0,1.0,False,False
TCK_00000212,20230114,,537894,2021,,3,1149,escalated,1,,,False,False
TCK_00000213,20231224,20231227.0,544748,2019,,3,1210,closed,3,3.0,1.0,False,True
TCK_00000214,20240918,20241002.0,555467,2013,,4,1338,closed,5,14.0,0.0,False,False
TCK_00000215,20230518,20230522.0,514639,2007,,6,1467,closed,1,4.0,0.0,False,False
TCK_00000216,20250929,20251017.0,530327,2014,,5,1322,closed,2,18.0,0.0,False,False
TCK_00000217,20250407,20250412.0,503185,2023,906449.0,4,1517,closed,2,5.0,0.0,True,False
TCK_00000218,20240826,20240915.0,502360,2011,,7,1385,closed,3,20.0,0.0,False,False
TCK_00000219,20250204,20250223.0,525438,2012,909845.0,7,1113,closed,3,19.0,0.0,False,False
TCK_00000220,20240920,,532835,2008,916671.0,1,1158,open,2,,,False,True
TCK_00000221,20231028,20231103.0,532110,2022,934583.0,3,1109,closed,3,6.0,0.0,False,False
TCK_00000222,20240908,20240909.0,523339,2023,924391.0,2,1412,closed,2,1.0,1.0,True,False
TCK_00000223,20250616,,515899,2011,,5,1052,open,5,,,False,False
TCK_00000224,20230906,20230915.0,531543,2023,943435.0,1,1253,closed,1,9.0,0.0,False,False
TCK_00000225,20240816,20240830.0,517672,2016,918517.0,4,1401,closed,5,14.0,0.0,False,False
TCK_00000226,20240705,20240724.0,545587,2007,906341.0,5,1291,closed,1,19.0,0.0,False,False
TCK_00000227,20240514,20240524.0,550406,2005,914473.0,6,1297,closed,7,10.0,0.0,True,True
TCK_00000228,20240206,,507323,2012,905851.0,3,1068,open,2,,,False,False
TCK_00000229,20240805,20240816.0,509036,2002,931940.0,4,1124,closed,5,11.0,0.0,False,True
TCK_00000230,20241225,20250109.0,534551,2002,,6,1124,closed,2,15.0,0.0,False,True
TCK_00000231,20230217,20230305.0,546057,2024,,6,1001,closed,3,16.0,0.0,False,False
TCK_00000232,20240924,20241001.0,552764,2021,936860.0,1,1020,closed,5,7.0,0.0,False,False
TCK_00000233,20240627,20240713.0,531064,2001,933967.0,3,1035,closed,3,16.0,0.0,False,False
TCK_00000234,20230805,20230820.0,539449,2003,941751.0,5,1042,closed,5,15.0,0.0,False,False
TCK_00000235,20240906,20240907.0,541005,2018,909662.0,6,1127,closed,3,1.0,1.0,False,False
TCK_00000236,20231206,20231207.0,546959,2017,908056.0,7,1026,closed,1,1.0,1.0,False,False
TCK_00000237,20240321,,529828,2016,912707.0,5,1417,open,5,,,False,False
TCK_00000238,20230810,20230814.0,543524,2022,919575.0,5,1235,closed,1,4.0,0.0,False,False
TCK_00000239,20250704,20250705.0,503805,2019,945536.0,3,1166,closed,3,1.0,1.0,True,True
TCK_00000240,20251212,20251220.0,512871,2020,946266.0,1,1249,closed,5,8.0,0.0,True,False
TCK_00000241,20230601,20230615.0,517321,2009,,2,1256,closed,5,14.0,0.0,False,False
TCK_00000242,20240924,20241009.0,527556,2011,913749.0,4,1183,closed,2,15.0,0.0,False,False
TCK_00000243,20240212,20240221.0,540308,2007,912478.0,2,1351,closed,7,9.0,0.0,False,True
TCK_00000244,20251027,20251109.0,548658,2007,926927.0,5,1409,closed,3,13.0,0.0,False,False
TCK_00000245,20231004,20231011.0,540879,2013,,5,1444,closed,5,7.0,0.0,False,False
TCK_00000246,20241124,20241206.0,543896,2001,919317.0,7,1049,closed,2,12.0,0.0,False,False
TCK_00000247,20250218,20250222.0,505165,2017,921041.0,6,1287,closed,3,4.0,0.0,False,True
TCK_00000248,20250813,20250816.0,529864,2002,901657.0,4,1266,closed,3,3.0,1.0,False,False
TCK_00000249,20241119,20241127.0,523296,2004,905974.0,5,1200,closed,2,8.0,0.0,True,False
TCK_00000250,20231210,20231228.0,521139,2021,,4,1076,closed,5,18.0,0.0,False,True
TCK_00000251,20240811,20240811.0,536125,2017,,5,1276,closed,5,0.0,1.0,False,False
TCK_00000252,20251206,20251222.0,543767,2019,907287.0,3,1473,closed,5,16.0,0.0,False,False
TCK_00000253,20251203,20251211.0,532059,2015,902787.0,5,1019,closed,5,8.0,0.0,False,False
TCK_00000254,20250810,,523514,2019,,2,1482,open,5,,,False,False
TCK_00000255,20240601,,555783,2014,948163.0,5,1001,open,2,,,False,False
TCK_00000256,20250603,20250618.0,538801,2006,924631.0,1,1040,closed,1,15.0,0.0,False,False
TCK_00000257,20251031,20251111.0,556413,2001,,7,1166,closed,3,11.0,0.0,False,False
TCK_00000258,20250420,20250505.0,518310,2018,,5,1329,closed,3,15.0,0.0,False,False
TCK_00000259,20251204,20251212.0,551140,2020,918005.0,3,1410,closed,3,8.0,0.0,False,False
TCK_00000260,20241026,20241113.0,531981,2005,935521.0,5,1316,closed,3,18.0,0.0,True,False
TCK_00000261,20240407,20240426.0,514408,2017,945033.0,1,1087,closed,1,19.0,0.0,False,True
TCK_00000262,20251214,20251228.0,557572,2023,947422.0,4,1320,closed,7,14.0,0.0,False,True
TCK_00000263,20250522,20250604.0,529459,2015,,1,1051,closed,5,13.0,0.0,False,False
TCK_00000264,20231012,20231028.0,513668,2002,945843.0,1,1241,closed,3,16.0,0.0,False,False
TCK_00000265,20240222,20240313.0,506980,2016,900032.0,3,1463,closed,3,20.0,0.0,False,True
TCK_00000266,20241226,20250114.0,540625,2006,,2,1179,closed,5,19.0,0.0,False,False
TCK_00000267,20240912,20240929.0,550426,2006,944928.0,3,1052,closed,3,17.0,0.0,False,False
TCK_00000268,20241005,20241006.0,509096,2010,944883.0,4,1298,closed,5,1.0,1.0,False,False
TCK_00000269,20240126,20240211.0,525145,2021,,2,1216,closed,7,16.0,0.0,False,False
TCK_00000270,20240219,20240308.0,511774,2023,929992.0,6,1169,closed,1,18.0,0.0,False,False
TCK_00000271,20230503,20230515.0,557966,2003,914208.0,3,1299,closed,2,12.0,0.0,False,True
TCK_00000272,20250826,20250910.0,526332,2016,905737.0,7,1072,closed,3,15.0,0.0,False,False
TCK_00000273,20230805,20230807.0,508779,2001,913657.0,3,1325,closed,5,2.0,1.0,False,True
TCK_00000274,20250807,20250811.0,506994,2014,927082.0,7,1358,closed,3,4.0,0.0,False,False
TCK_00000275,20230522,20230531.0,507799,2010,,7,1194,closed,5,9.0,0.0,False,False
TCK_00000276,20230709,20230715.0,507132,2017,931491.0,3,1147,closed,2,6.0,0.0,True,False
TCK_00000277,20230914,20230930.0,558546,2012,915560.0,3,1299,closed,2,16.0,0.0,False,False
TCK_00000278,20230315,20230324.0,540678,2002,927812.0,2,1501,closed,5,9.0,0.0,False,True
TCK_00000279,20250907,20250908.0,506545,2010,922407.0,2,1283,closed,3,1.0,1.0,False,True
TCK_00000280,20230623,20230708.0,535754,2009,900789.0,5,1380,closed,7,15.0,0.0,False,False
TCK_00000281,20250517,,506687,2022,,7,1355,open,1,,,True,False
TCK_00000282,20240424,,547230,2015,913703.0,6,1334,open,2,,,False,False
TCK_00000283,20240811,20240829.0,549291,2022,,2,1393,closed,3,18.0,0.0,False,False
TCK_00000284,20250911,20250915.0,549094,2022,905407.0,3,1446,closed,3,4.0,0.0,True,False
TCK_00000285,20240107,20240120.0,503839,2006,,7,1079,closed,3,13.0,0.0,False,False
TCK_00000286,20230316,20230401.0,510349,2020,911361.0,2,1280,closed,3,16.0,0.0,False,False
TCK_00000287,20231231,,529849,2024,,6,1111,open,3,,,False,True
